flux,seed,start,lz,RR_iqr0.1,RR_iqr0.3,RR_iqr0.5
0.0,21,1400,0.33999999999999914,0.1612781954887218,0.3511027568922306,0.4992355889724311
0.0,21,1600,0.379999999999999,0.18844611528822056,0.38264411027568923,0.5159147869674185
0.0,21,1800,0.4399999999999989,0.11233082706766917,0.2813157894736842,0.4094110275689223
0.0,21,2000,0.33999999999999914,0.14457393483709274,0.3406892230576441,0.49699248120300754
0.0,21,2200,0.379999999999999,0.1487593984962406,0.3188345864661654,0.4438972431077694
0.0,21,2400,0.39999999999999897,0.16538847117794486,0.3647619047619048,0.5095864661654136
0.0,21,2600,0.379999999999999,0.1386967418546366,0.32454887218045114,0.48520050125313285
0.0,21,2800,0.379999999999999,0.15027568922305765,0.32913533834586467,0.46384711779448623
0.0,21,3000,0.379999999999999,0.2338095238095238,0.4586591478696742,0.5442982456140351
0.0,21,3200,0.379999999999999,0.14291979949874686,0.3157518796992481,0.4663157894736842
0.0,21,3400,0.41999999999999893,0.1532456140350877,0.34850877192982455,0.48676691729323307
0.0,21,3600,0.379999999999999,0.2731203007518797,0.4467418546365915,0.5268922305764411
0.0,21,3800,0.3599999999999991,0.133671679197995,0.3101378446115288,0.4401503759398496
0.0,21,4000,0.379999999999999,0.15788220551378446,0.34943609022556393,0.4947744360902256
0.0,21,4200,0.2799999999999993,0.2950125313283208,0.4313533834586466,0.5118045112781955
0.0,21,4400,0.39999999999999897,0.11228070175438597,0.2887593984962406,0.4255513784461153
0.0,21,4600,0.379999999999999,0.17134085213032582,0.37080200501253135,0.5091478696741855
0.0,21,4800,0.2799999999999993,0.2792731829573935,0.43145363408521303,0.5157518796992481
0.0,21,5000,0.41999999999999893,0.11828320802005013,0.30372180451127817,0.44705513784461154
0.0,21,5200,0.3199999999999992,0.1769047619047619,0.36431077694235586,0.49239348370927316
0.0,21,5400,0.3599999999999991,0.2380325814536341,0.4359649122807018,0.5338345864661654
0.0,21,5600,0.41999999999999893,0.1218170426065163,0.295062656641604,0.43007518796992483
0.0,21,5800,0.33999999999999914,0.16350877192982455,0.35209273182957396,0.49798245614035086
0.0,21,6000,0.39999999999999897,0.19531328320802005,0.3851754385964912,0.5180075187969925
0.0,21,6200,0.379999999999999,0.1093233082706767,0.2769799498746867,0.40515037593984965
0.0,21,6400,0.3599999999999991,0.1392857142857143,0.3350751879699248,0.4911779448621554
0.0,21,6600,0.39999999999999897,0.14647869674185462,0.3194611528822055,0.44525062656641606
0.0,21,6800,0.39999999999999897,0.1624937343358396,0.36347117794486217,0.5068922305764411
0.0,21,7000,0.379999999999999,0.13725563909774435,0.3273934837092732,0.48621553884711777
0.0,21,7200,0.379999999999999,0.14607769423558897,0.32766917293233083,0.4625438596491228
0.0,21,7400,0.39999999999999897,0.22848370927318296,0.45631578947368423,0.5453383458646617
0.0,21,7600,0.33999999999999914,0.14538847117794487,0.31919799498746865,0.4663157894736842
0.0,21,7800,0.3599999999999991,0.15369674185463658,0.3467919799498747,0.48697994987468674
0.0,21,8000,0.3599999999999991,0.2710275689223058,0.4486466165413534,0.5276190476190477
0.0,21,8200,0.379999999999999,0.13468671679197994,0.3128696741854637,0.443483709273183
0.0,21,8400,0.379999999999999,0.15794486215538847,0.35788220551378447,0.49781954887218044
0.0,21,8600,0.2799999999999993,0.2901503759398496,0.4307518796992481,0.5112155388471178
0.0,37,0,0.379999999999999,0.11454887218045112,0.296077694235589,0.4357017543859649
0.0,37,200,0.3599999999999991,0.16798245614035087,0.3688721804511278,0.5007268170426065
0.0,37,400,0.3199999999999992,0.2773558897243108,0.43510025062656643,0.5155263157894737
0.0,37,600,0.41999999999999893,0.12109022556390978,0.30395989974937343,0.4432706766917293
0.0,37,800,0.2799999999999993,0.1756390977443609,0.36216791979949875,0.49462406015037597
0.0,37,1000,0.379999999999999,0.2394110275689223,0.43854636591478696,0.5386967418546366
0.0,37,1200,0.4399999999999989,0.11002506265664161,0.2835964912280702,0.4199624060150376
0.0,37,1400,0.33999999999999914,0.16157894736842104,0.35347117794486216,0.5015288220551378
0.0,37,1600,0.379999999999999,0.18620300751879698,0.3763784461152882,0.507781954887218
0.0,37,1800,0.41999999999999893,0.11283208020050126,0.27828320802005013,0.4027694235588972
0.0,37,2000,0.379999999999999,0.14023809523809525,0.33536340852130325,0.49105263157894735
0.0,37,2200,0.379999999999999,0.1443859649122807,0.3162280701754386,0.4401503759398496
0.0,37,2400,0.4399999999999989,0.16264411027568923,0.36466165413533835,0.5067167919799499
0.0,37,2600,0.3599999999999991,0.13796992481203008,0.3285213032581454,0.48765664160401
0.0,37,2800,0.379999999999999,0.15098997493734337,0.3318671679197995,0.4732205513784461
